# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 55			; airspace radius in NM
zoom = 7.0 			; default zoom level, increase to zoom in
elevation = 13 			; ground altitude in feet
floor = 1800 			; minimum selectable altitude
descendaltitude = 12000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 14000 			; maximum departure altitude when SID is enabled (must be above ceiling)
transitionaltitude = 18000	; highest altitude displayed in feet instead of flight level
speedrestriction = 20, 230 	; radius in NM, and speed in knots
usa = true			; American-style callsign pronunciation and runway names
metric = false			; display altitudes in metres instead of feet
separation = 3			; minimum allowed distance between aircraft in NM
center = N42.36429977, W71.00520325
magneticvar = -14.364
beacons =
	BOS, N42.35740, W70.98950, 0, Boston
	IMR, N42.09790, W70.67530, 0, Marshfield
	LWM, N42.74040, W71.09480, 0, Lawrence
	IHM, N42.00280, W71.19710, 0, Mansfield
	PYM, N41.84750, W70.80270, 0, Plymouth
	PSM, N43.08446, W70.83199, 0, pease
	ENE, N43.42567, W70.61353, 0, kennebunk
	MHT, N42.86850, W71.36950, 0, Manchester
	PVC, N42.06890, W70.22360, 0, Provincetown
	PVD, N41.72430, W71.42960, 0, Providence
	PSM, N43.08450, W70.83200, 0, Pease
	PUT, N41.95550, W71.84410, 0, Putnam
	FMH, N41.73260, W70.44090, 0, Otis
	LFV, N42.01720, W70.03730, 0, Marconi
	GDM, N42.54600, W72.05820, 0, Gardner
	ACK, N41.28189, W70.02671, 0, nantucket
	SEY, N41.16744, W71.57609, 0, sandy point
	MVY, N41.39621, W70.61272, 0, martha's vineyard

# BOS beacons
    AADMS, N42.35.07.53, W071.19.08.13, aadms
# # GDM.GDM4
# runway = BOSP_15L_33R, rev
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210
#
# ##################################################
# [approach35]
# ##################################################
# # PVD.ORW7
# runway = BOS_15L_33R, rev
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 270 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 270 ; KRANN
#     end, 074
#
# ##################################################
# [approach36]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_15L_33R, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250  ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210  ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210  ; WOONS
#     end, 060

##################################################
[approach37]
##################################################
# ONDEC.JFUND2
runway = BOS_04R_22L
beacon = ONDEC

route1 =
    N42.32.47.83, W072.03.56.71, 11000, 330 ; ONDEC
    N42.35.11.34, W071.49.15.93, 11000, 330 ; JFUND
    N42.33.01.17, W071.35.32.36, 11000, 270 ; AUTUM
    N42.30.12.45, W071.21.59.67, 8000, 250 ; WINTA
    N42.27.40.77, W071.09.21.69, 8000, 250 ; HRRIS
    N42.26.58.45, W071.01.37.25, 7000, 220 ; SPYSD
    N42.18.42.17, W070.56.05.73, 7000, 220 ; GRIFI
    N42.16.29.28, W070.57.03.28, 6000, 220 ; GGABE
    N42.10.41.96, W070.59.32.15, 6000, 210 ; JOBEE
    end, 212

##################################################
[approach38]
##################################################
# JFUND.JFUND2
runway = BOS_04R_22L
beacon = JFUND

route1 =
    N42.35.11.34, W071.49.15.93, 14000, 330 ; JFUND
    N42.33.01.17, W071.35.32.36, 11000, 270 ; AUTUM
    N42.30.12.45, W071.21.59.67, 8000, 250 ; WINTA
    N42.27.40.77, W071.09.21.69, 8000, 250 ; HRRIS
    N42.26.58.45, W071.01.37.25, 7000, 220 ; SPYSD
    N42.18.42.17, W070.56.05.73, 7000, 220 ; GRIFI
    N42.16.29.28, W070.57.03.28, 6000, 220 ; GGABE
    N42.10.41.96, W070.59.32.15, 6000, 210 ; JOBEE
    end, 212

##################################################
[approach39]
##################################################
# FERNZ.OOSHN5
runway = BOS_04R_22L
beacon = FERNZ

route1 =
    N41.50.35.40, W069.46.53.11, 14000, 330 ; FERNZ
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.31.46.46, W070.30.54.94, 9000, 250 ; TTERI
    N42.27.28.16, W070.49.31.96, 9000, 250 ; WAATR
    N42.24.44.74, W070.53.11.93, 9000, 250 ; FLUTI
    N42.18.42.17, W070.56.05.73, 9000, 250 ; GRIFI
    N42.16.29.28, W070.57.03.28, 6000, 220 ; GGABE
    N42.10.41.96, W070.59.32.15, 6000, 210 ; JOBEE
    end, 212

##################################################
[approach40]
##################################################
# PROVI.OOSHN5
runway = BOS_04R_22L
beacon = PROVI

route1 =
    N41.43.25.46, W071.25.54.17, 14000, 330 ; PROVI
    N42.03.16.48, W070.49.40.68, 14000, 330 ; IYANA
    N42.06.30.28, W070.36.58.08, 14000, 330 ; KLEBB
    N42.14.14.45, W070.08.43.28, 14000, 330 ; SOBAH
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.31.46.46, W070.30.54.94, 9000, 250 ; TTERI
    N42.27.28.16, W070.49.31.96, 9000, 250 ; WAATR
    N42.24.44.74, W070.53.11.93, 9000, 250 ; FLUTI
    N42.18.42.17, W070.56.05.73, 9000, 250 ; GRIFI
    N42.16.29.28, W070.57.03.28, 6000, 220 ; GGABE
    N42.10.41.96, W070.59.32.15, 6000, 210 ; JOBEE
    end, 212

##################################################
[approach41]
##################################################
# EURRO.OOSHN5
runway = BOS_04R_22L
beacon = EURRO

route1 =
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.31.46.46, W070.30.54.94, 9000, 250 ; TTERI
    N42.27.28.16, W070.49.31.96, 9000, 250 ; WAATR
    N42.24.44.74, W070.53.11.93, 9000, 250 ; FLUTI
    N42.18.42.17, W070.56.05.73, 9000, 250 ; GRIFI
    N42.16.29.28, W070.57.03.28, 6000, 220 ; GGABE
    N42.10.41.96, W070.59.32.15, 6000, 210 ; JOBEE
    end, 212

##################################################
[approach42]
##################################################
# ONDEC.JFUND2
runway = BOS_15R_33L
beacon = ONDEC

route1 =
    N42.32.47.83, W072.03.56.71, 11000, 330 ; ONDEC
    N42.35.11.34, W071.49.15.93, 11000, 330 ; JFUND
    N42.36.27.95, W071.42.43.21, 9000, 250 ; BADCA
    N42.39.08.71, W071.28.51.95, 7000, 210 ; WACHU
    N42.37.55.51, W071.23.09.86, 7000, 210 ; SSAAM
    N42.35.07.53, W071.19.08.13, 7000, 210 ; AADMS
    end, 148

##################################################
[approach43]
##################################################
# JFUND.JFUND2
runway = BOS_15R_33L
beacon = JFUND

route1 =
    N42.35.11.34, W071.49.15.93, 14000, 330 ; JFUND
    N42.36.27.95, W071.42.43.21, 9000, 250 ; BADCA
    N42.39.08.71, W071.28.51.95, 7000, 210 ; WACHU
    N42.37.55.51, W071.23.09.86, 7000, 210 ; SSAAM
    N42.35.07.53, W071.19.08.13, 7000, 210 ; AADMS
    end, 148

##################################################
[approach44]
##################################################
# FERNZ.OOSHN5
runway = BOS_15R_33L
beacon = FERNZ

route1 =
    N41.50.35.40, W069.46.53.11, 14000, 330 ; FERNZ
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.35.09.36, W070.33.54.40, 9000, 250 ; GRGIO
    N42.33.25.12, W070.41.52.30, 7000, 250 ; BRGIT
    N42.32.07.43, W070.49.47.85, 5000, 220 ; HNOVR
    N42.29.36.10, W071.03.20.94, 5000, 210 ; RDHOK
    N42.34.54.97, W071.10.51.19, 5000, 210 ; TKMAN
    end, 328

##################################################
[approach45]
##################################################
# PROVI.OOSHN5
runway = BOS_15R_33L
beacon = PROVI

route1 =
    N41.43.25.46, W071.25.54.17, 14000, 330 ; PROVI
    N42.03.16.48, W070.49.40.68, 14000, 330 ; IYANA
    N42.06.30.28, W070.36.58.08, 14000, 330 ; KLEBB
    N42.14.14.45, W070.08.43.28, 14000, 330 ; SOBAH
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.35.09.36, W070.33.54.40, 9000, 250 ; GRGIO
    N42.33.25.12, W070.41.52.30, 7000, 250 ; BRGIT
    N42.32.07.43, W070.49.47.85, 5000, 220 ; HNOVR
    N42.29.36.10, W071.03.20.94, 5000, 210 ; RDHOK
    N42.34.54.97, W071.10.51.19, 5000, 210 ; TKMAN
    end, 328

##################################################
[approach46]
##################################################
# EURRO.OOSHN5
runway = BOS_15R_33L
beacon = EURRO

route1 =
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.35.09.36, W070.33.54.40, 9000, 250 ; GRGIO
    N42.33.25.12, W070.41.52.30, 7000, 250 ; BRGIT
    N42.32.07.43, W070.49.47.85, 5000, 220 ; HNOVR
    N42.29.36.10, W071.03.20.94, 5000, 210 ; RDHOK
    N42.34.54.97, W071.10.51.19, 5000, 210 ; TKMAN
    end, 328

# ##################################################
# [approach47]
# ##################################################
# # RUIZE.ROBUC3
# runway = BOS_15R_33L
# beacon = RUIZE
#
# route1 =
#     N41.28.45.63, W072.12.33.94, 14000, 330 ; RUIZE
#     N41.33.22.48, W071.59.56.97, 14000, 330 ; AWLIN
#     N41.35.44.39, W071.52.03.63, 14000, 330 ; BANKI
#     N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
#     N41.47.07.37, W071.17.15.23, 12000, 260 ; JOODY
#     N41.49.15.90, W071.12.13.60, 11000, 250 ; JAYNA
#     N42.06.16.24, W071.04.17.45, 8000, 250 ; BOXRS
#     N42.24.18.51, W070.55.47.58, 6000, 220 ; CHERS
#     N42.29.36.10, W071.03.20.94, 6000, 210 ; RDHOK
#     N42.34.54.97, W071.10.51.19, 6000, 210 ; TKMAN
#     end, 328

##################################################
[approach48]
##################################################
# ROBUC.ROBUC3
runway = BOS_15R_33L
beacon = ROBUC

route1 =
    N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
    N41.43.25.46, W071.25.54.17, 11000, 260 ; PROVI
    N41.47.07.37, W071.17.15.23, 11000, 260 ; JOODY
    N41.49.15.90, W071.12.13.60, 11000, 250 ; JAYNA
    N42.06.16.24, W071.04.17.45, 8000, 250 ; BOXRS
    N42.24.18.51, W070.55.47.58, 6000, 220 ; CHERS
    N42.29.36.10, W071.03.20.94, 6000, 210 ; RDHOK
    N42.34.54.97, W071.10.51.19, 6000, 210 ; TKMAN
    end, 328

##################################################
[approach49]
##################################################
# ONDEC.JFUND2
runway = BOS_04R_22L, rev
beacon = ONDEC

route1 =
    N42.32.47.83, W072.03.56.71, 11000, 330 ; ONDEC
    N42.35.11.34, W071.49.15.93, 11000, 330 ; JFUND
    N42.33.01.17, W071.35.32.36, 11000, 270 ; AUTUM
    N42.30.12.45, W071.21.59.67, 8000, 250 ; WINTA
    N42.27.40.77, W071.09.21.69, 8000, 250 ; HRRIS
    N42.29.46.42, W071.03.39.16, 6000, 220 ; ISLAY
    N42.34.56.56, W071.01.06.27, 6000, 210 ; LWLND
    end, 035

##################################################
[approach50]
##################################################
# JFUND.JFUND2
runway = BOS_04R_22L, rev
beacon = JFUND

route1 =
    N42.35.11.34, W071.49.15.93, 14000, 330 ; JFUND
    N42.33.01.17, W071.35.32.36, 11000, 270 ; AUTUM
    N42.30.12.45, W071.21.59.67, 8000, 250 ; WINTA
    N42.27.40.77, W071.09.21.69, 8000, 250 ; HRRIS
    N42.29.46.42, W071.03.39.16, 6000, 220 ; ISLAY
    N42.34.56.56, W071.01.06.27, 6000, 210 ; LWLND
    end, 035

##################################################
[approach51]
##################################################
# FERNZ.OOSHN5
runway = BOS_04R_22L, rev
beacon = FERNZ

route1 =
    N41.50.35.40, W069.46.53.11, 14000, 330 ; FERNZ
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.35.09.36, W070.33.54.40, 9000, 250 ; GRGIO
    N42.33.25.12, W070.41.52.30, 7000, 250 ; BRGIT
    N42.36.20.25, W070.46.55.46, 6000, 220 ; ADDDA
    N42.41.02.21, W070.44.36.30, 6000, 210 ; LEEZI
    end, 035

##################################################
[approach52]
##################################################
# PROVI.OOSHN5
runway = BOS_04R_22L, rev
beacon = PROVI

route1 =
    N41.43.25.46, W071.25.54.17, 14000, 330 ; PROVI
    N42.03.16.48, W070.49.40.68, 14000, 330 ; IYANA
    N42.06.30.28, W070.36.58.08, 14000, 330 ; KLEBB
    N42.14.14.45, W070.08.43.28, 14000, 330 ; SOBAH
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.35.09.36, W070.33.54.40, 9000, 250 ; GRGIO
    N42.33.25.12, W070.41.52.30, 7000, 250 ; BRGIT
    N42.36.20.25, W070.46.55.46, 6000, 220 ; ADDDA
    N42.41.02.21, W070.44.36.30, 6000, 210 ; LEEZI
    end, 035

##################################################
[approach53]
##################################################
# EURRO.OOSHN5
runway = BOS_04R_22L, rev
beacon = EURRO

route1 =
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.35.09.36, W070.33.54.40, 9000, 250 ; GRGIO
    N42.33.25.12, W070.41.52.30, 7000, 250 ; BRGIT
    N42.36.20.25, W070.46.55.46, 6000, 220 ; ADDDA
    N42.41.02.21, W070.44.36.30, 6000, 210 ; LEEZI
    end, 035

# ##################################################
# [approach54]
# ##################################################
# # RUIZE.ROBUC3
# runway = BOS_04R_22L, rev
# beacon = RUIZE
#
# route1 =
#     N41.28.45.63, W072.12.33.94, 14000, 330 ; RUIZE
#     N41.33.22.48, W071.59.56.97, 14000, 330 ; AWLIN
#     N41.35.44.39, W071.52.03.63, 14000, 330 ; BANKI
#     N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
#     N41.47.07.37, W071.17.15.23, 12000, 260 ; JOODY
#     N41.51.18.69, W071.07.24.46, 11000, 250 ; KRANN
#     N42.00.36.88, W070.45.47.55, 8000, 250 ; CRADL
#     N42.06.30.28, W070.36.58.08, 8000, 250 ; KLEBB
#     N42.19.33.13, W070.33.19.59, 5000, 250 ; ETHYN
#     N42.31.38.24, W070.49.14.28, 5000, 220 ; PTRIK
#     N42.37.34.55, W070.46.18.74, 5000, 210 ; TAALE
#     end, 035

##################################################
[approach55]
##################################################
# ROBUC.ROBUC3
runway = BOS_04R_22L, rev
beacon = ROBUC

route1 =
    N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
    N41.43.25.46, W071.25.54.17, 11000, 260 ; PROVI
    N41.47.07.37, W071.17.15.23, 11000, 260 ; JOODY
    N41.51.18.69, W071.07.24.46, 11000, 250 ; KRANN
    N42.00.36.88, W070.45.47.55, 8000, 250 ; CRADL
    N42.06.30.28, W070.36.58.08, 8000, 250 ; KLEBB
    N42.19.33.13, W070.33.19.59, 5000, 250 ; ETHYN
    N42.31.38.24, W070.49.14.28, 5000, 220 ; PTRIK
    N42.37.34.55, W070.46.18.74, 5000, 210 ; TAALE
    end, 035

##################################################
[approach56]
##################################################
# ONDEC.JFUND2
runway = BOS_09_27, rev
beacon = ONDEC

route1 =
    N42.32.47.83, W072.03.56.71, 11000, 330 ; ONDEC
    N42.35.11.34, W071.49.15.93, 11000, 330 ; JFUND
    N42.33.01.17, W071.35.32.36, 11000, 270 ; AUTUM
    N42.30.12.45, W071.21.59.67, 8000, 250 ; WINTA
    N42.27.40.77, W071.09.21.69, 8000, 250 ; HRRIS
    N42.26.58.45, W071.01.37.25, 7000, 220 ; SPYSD
    N42.26.27.48, W070.57.41.31, 7000, 220 ; REVER
    N42.28.04.94, W070.47.06.19, 6000, 210 ; SEHAG
    end, 093

##################################################
[approach57]
##################################################
# JFUND.JFUND2
runway = BOS_09_27, rev
beacon = JFUND

route1 =
    N42.35.11.34, W071.49.15.93, 14000, 330 ; JFUND
    N42.33.01.17, W071.35.32.36, 11000, 270 ; AUTUM
    N42.30.12.45, W071.21.59.67, 8000, 250 ; WINTA
    N42.27.40.77, W071.09.21.69, 8000, 250 ; HRRIS
    N42.26.58.45, W071.01.37.25, 7000, 220 ; SPYSD
    N42.26.27.48, W070.57.41.31, 7000, 220 ; REVER
    N42.28.04.94, W070.47.06.19, 6000, 210 ; SEHAG
    end, 093

##################################################
[approach58]
##################################################
# FERNZ.OOSHN5
runway = BOS_09_27, rev
beacon = FERNZ

route1 =
    N41.50.35.40, W069.46.53.11, 14000, 330 ; FERNZ
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.28.48.58, W070.17.48.68, 9000, 250 ; PUDJJ
    N42.26.26.01, W070.31.40.48, 6000, 210 ; AYBEE
    18, 5000, 210

##################################################
[approach59]
##################################################
# PROVI.OOSHN5
runway = BOS_09_27, rev
beacon = PROVI

route1 =
    N41.43.25.46, W071.25.54.17, 14000, 330 ; PROVI
    N42.03.16.48, W070.49.40.68, 14000, 330 ; IYANA
    N42.06.30.28, W070.36.58.08, 14000, 330 ; KLEBB
    N42.14.14.45, W070.08.43.28, 14000, 330 ; SOBAH
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.28.48.58, W070.17.48.68, 9000, 250 ; PUDJJ
    N42.26.26.01, W070.31.40.48, 6000, 210 ; AYBEE
    18, 5000, 210

##################################################
[approach60]
##################################################
# EURRO.OOSHN5
runway = BOS_09_27, rev
beacon = EURRO

route1 =
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.28.48.58, W070.17.48.68, 9000, 250 ; PUDJJ
    N42.26.26.01, W070.31.40.48, 6000, 210 ; AYBEE
    18, 5000, 210

# ##################################################
# [approach61]
# ##################################################
# # RUIZE.ROBUC3
# runway = BOS_09_27, rev
# beacon = RUIZE
#
# route1 =
#     N41.28.45.63, W072.12.33.94, 14000, 330 ; RUIZE
#     N41.33.22.48, W071.59.56.97, 14000, 330 ; AWLIN
#     N41.35.44.39, W071.52.03.63, 14000, 330 ; BANKI
#     N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
#     N41.47.07.37, W071.17.15.23, 12000, 260 ; JOODY
#     N41.51.18.69, W071.07.24.46, 11000, 250 ; KRANN
#     N42.00.36.88, W070.45.47.55, 8000, 250 ; CRADL
#     N42.06.30.28, W070.36.58.08, 8000, 250 ; KLEBB
#     N42.20.43.93, W070.33.55.81, 5000, 210 ; HOKDU
#     end, 024

##################################################
[approach62]
##################################################
# ROBUC.ROBUC3
runway = BOS_09_27, rev
beacon = ROBUC

route1 =
    N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
    N41.43.25.46, W071.25.54.17, 11000, 260 ; PROVI
    N41.47.07.37, W071.17.15.23, 11000, 260 ; JOODY
    N41.51.18.69, W071.07.24.46, 11000, 250 ; KRANN
    N42.00.36.88, W070.45.47.55, 8000, 250 ; CRADL
    N42.06.30.28, W070.36.58.08, 8000, 250 ; KLEBB
    N42.20.43.93, W070.33.55.81, 5000, 210 ; HOKDU
    end, 024

##################################################
[approach63]
##################################################
# ONDEC.JFUND2
runway = BOS_14_32, rev
beacon = ONDEC

route1 =
    N42.32.47.83, W072.03.56.71, 11000, 330 ; ONDEC
    N42.35.11.34, W071.49.15.93, 11000, 330 ; JFUND
    N42.33.01.17, W071.35.32.36, 11000, 270 ; AUTUM
    N42.30.12.45, W071.21.59.67, 8000, 250 ; WINTA
    N42.27.40.77, W071.09.21.69, 8000, 250 ; HRRIS
    N42.26.58.45, W071.01.37.25, 7000, 220 ; SPYSD
    N42.23.12.97, W070.55.18.28, 6000, 220 ; BRODI
    N42.20.12.83, W070.50.16.49, 5000, 220 ; BECHH
    N42.16.43.48, W070.45.38.19, 5000, 210 ; SCITU
    end, 150

##################################################
[approach64]
##################################################
# JFUND.JFUND2
runway = BOS_14_32, rev
beacon = JFUND

route1 =
    N42.35.11.34, W071.49.15.93, 14000, 330 ; JFUND
    N42.33.01.17, W071.35.32.36, 11000, 270 ; AUTUM
    N42.30.12.45, W071.21.59.67, 8000, 250 ; WINTA
    N42.27.40.77, W071.09.21.69, 8000, 250 ; HRRIS
    N42.26.58.45, W071.01.37.25, 7000, 220 ; SPYSD
    N42.23.12.97, W070.55.18.28, 6000, 220 ; BRODI
    N42.20.12.83, W070.50.16.49, 5000, 220 ; BECHH
    N42.16.43.48, W070.45.38.19, 5000, 210 ; SCITU
    end, 150

##################################################
[approach65]
##################################################
# FERNZ.OOSHN5
runway = BOS_14_32, rev
beacon = FERNZ

route1 =
    N41.50.35.40, W069.46.53.11, 14000, 330 ; FERNZ
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.31.46.46, W070.30.54.94, 9000, 250 ; TTERI
    N42.27.28.16, W070.49.31.96, 9000, 250 ; WAATR
    N42.23.15.44, W070.51.19.79, 9000, 250 ; PLGRM
    N42.20.12.83, W070.50.16.49, 5000, 220 ; BECHH
    N42.16.43.48, W070.45.38.19, 5000, 210 ; SCITU
    end, 150

##################################################
[approach66]
##################################################
# PROVI.OOSHN5
runway = BOS_14_32, rev
beacon = PROVI

route1 =
    N41.43.25.46, W071.25.54.17, 14000, 330 ; PROVI
    N42.03.16.48, W070.49.40.68, 14000, 330 ; IYANA
    N42.06.30.28, W070.36.58.08, 14000, 330 ; KLEBB
    N42.14.14.45, W070.08.43.28, 14000, 330 ; SOBAH
    N42.28.55.22, W069.54.42.21, 11000, 330 ; LONEY
    N42.35.58.22, W069.56.54.94, 11000, 330 ; RODEE
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.31.46.46, W070.30.54.94, 9000, 250 ; TTERI
    N42.27.28.16, W070.49.31.96, 9000, 250 ; WAATR
    N42.23.15.44, W070.51.19.79, 9000, 250 ; PLGRM
    N42.20.12.83, W070.50.16.49, 5000, 220 ; BECHH
    N42.16.43.48, W070.45.38.19, 5000, 210 ; SCITU
    end, 150

##################################################
[approach67]
##################################################
# EURRO.OOSHN5
runway = BOS_14_32, rev
beacon = EURRO

route1 =
    N42.39.02.67, W070.05.16.55, 10000, 330 ; EURRO
    N42.36.05.44, W070.13.52.37, 9000, 250 ; OOSHN
    N42.31.46.46, W070.30.54.94, 9000, 250 ; TTERI
    N42.27.28.16, W070.49.31.96, 9000, 250 ; WAATR
    N42.23.15.44, W070.51.19.79, 9000, 250 ; PLGRM
    N42.20.12.83, W070.50.16.49, 5000, 220 ; BECHH
    N42.16.43.48, W070.45.38.19, 5000, 210 ; SCITU
    end, 150

# ##################################################
# [approach68]
# ##################################################
# # RUIZE.ROBUC3
# runway = BOS_14_32, rev
# beacon = RUIZE
#
# route1 =
#     N41.28.45.63, W072.12.33.94, 14000, 330 ; RUIZE
#     N41.33.22.48, W071.59.56.97, 14000, 330 ; AWLIN
#     N41.35.44.39, W071.52.03.63, 14000, 330 ; BANKI
#     N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
#     N41.47.07.37, W071.17.15.23, 12000, 260 ; JOODY
#     N41.49.15.90, W071.12.13.60, 11000, 250 ; JAYNA
#     N41.55.25.95, W070.58.18.81, 8000, 240 ; ANSLY
#     N42.00.32.09, W070.48.20.74, 6000, 220 ; BEREI
#     N42.05.56.98, W070.41.09.06, 6000, 210 ; BBOGG
#     end, 059

##################################################
[approach69]
##################################################
# ROBUC.ROBUC3
runway = BOS_14_32, rev
beacon = ROBUC

route1 =
    N41.40.44.11, W071.35.06.42, 12000, 260 ; ROBUC
    N41.43.25.46, W071.25.54.17, 11000, 260 ; PROVI
    N41.47.07.37, W071.17.15.23, 11000, 260 ; JOODY
    N41.49.15.90, W071.12.13.60, 11000, 250 ; JAYNA
    N41.55.25.95, W070.58.18.81, 8000, 240 ; ANSLY
    N42.00.32.09, W070.48.20.74, 6000, 220 ; BEREI
    N42.05.56.98, W070.41.09.06, 6000, 210 ; BBOGG
    end, 059

##################################################
[approach70]
##################################################
# ONDEC.JFUND2
runway = BOS_15R_33L, rev
beacon = ONDEC

route1 =
    N42.32.47.83, W072.03.56.71, 11000, 330 ; ONDEC
    N42.35.11.34, W071.49.15.93, 11000, 330 ; JFUND
    N42.33.01.17, W071.35.32.36, 11000, 270 ; AUTUM
    N42.30.12.45, W071.21.59.67, 8000, 250 ; WINTA
    N42.27.40.77, W071.09.21.69, 8000, 250 ; HRRIS
    N42.26.58.45, W071.01.37.25, 7000, 220 ; SPYSD
    N42.23.12.97, W070.55.18.28, 6000, 220 ; BRODI
    N42.20.12.83, W070.50.16.49, 5000, 220 ; BECHH
    N42.16.43.48, W070.45.38.19, 5000, 210 ; SCITU
    end, 150

##################################################
[approach71]
##################################################
# JFUND.JFUND2
runway = BOS_15R_33L, rev
beacon = JFUND

route1 =
    N42.35.11.34, W071.49.15.93, 14000, 330 ; JFUND
    N42.33.01.17, W071.35.32.36, 11000, 270 ; AUTUM
    N42.30.12.45, W071.21.59.67, 8000, 250 ; WINTA
    N42.27.40.77, W071.09.21.69, 8000, 250 ; HRRIS
    N42.26.58.45, W071.01.37.25, 7000, 220 ; SPYSD
    N42.23.12.97, W070.55.18.28, 6000, 220 ; BRODI
    N42.20.12.83, W070.50.16.49, 5000, 220 ; BECHH
    N42.16.43.48, W070.45.38.19, 5000, 210 ; SCITU
    end, 150

##################################################
[approach72]
##################################################
# FERNZ.OOSHN5
runway = BOS_15R_33L, rev
beacon = FERNZ

