# This is an automatically generated airport file for Endless ATC.
# Feel free to improve, use and share this file, at your own risk.
# Data from ourairports.com.
# Coastline from naturalearthdata.com.
# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 50
elevation = 841
usa = true
transition = 18001
center = N44.882, W93.221802
floor = 2000 			; minimum selectable altitude
descendaltitude = 7000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 17000 			; maximum departure altitude when SID is enabled (must be above ceiling)
magneticvar = 1.529
beacons =
	MSP, N44.89650, W93.23650, 0, Minneapolis

# KMSP STAR BEACONS
    AANAH, N44.25.41.36, W093.19.19.23, aanah
route1 =
    360
    N44.58.38.58, W093.25.00.46, 2500, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach85]
##################################################
# CCJAY.L12L
runway = KMSP_12L_30R
beacon = CCJAY

route1 =
    360
    N45.03.30.66, W093.36.22.44, 6000, 250 ; CCJAY
    N45.01.53.43, W093.32.34.92, 6000, 250 ; UBTYA
    N45.00.16.07, W093.28.47.59, 5000, 250 ; ALGIN
    N44.58.38.58, W093.25.00.46, 4000, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach86]
##################################################
# KAYQU.L12L
runway = KMSP_12L_30R
beacon = KAYQU

route1 =
    360
    N45.10.47.83, W093.29.09.59, 6000, 210 ; KAYQU
    N45.04.14.50, W093.29.18.95, 5000, 210 ; SHUUT
    N44.58.38.58, W093.25.00.46, 4000, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach87]
##################################################
# HAMML.L12L
runway = KMSP_12L_30R
beacon = HAMML

route1 =
    360
    N44.58.38.58, W093.25.00.46, 2500, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach88]
##################################################
# KRUGG.I12R
runway = KMSP_12R_30L
beacon = KRUGG

route1 =
    360
    N44.55.23.72, W093.40.22.06, 6000, 210 ; KRUGG
    N44.58.56.48, W093.35.42.53, 6000, 210 ; EFEXX
    N44.58.19.89, W093.25.47.46, 4000, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach89]
##################################################
# PAETN.I12R
runway = KMSP_12R_30L
beacon = PAETN

route1 =
    360
    N45.03.11.97, W093.37.09.39, 6000, 250 ; PAETN
    N45.01.34.74, W093.33.21.87, 6000, 250 ; UTHNK
    N44.59.57.38, W093.29.34.57, 5000, 250 ; WAYZA
    N44.58.19.89, W093.25.47.46, 4000, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach90]
##################################################
# ZESTY.I12R
runway = KMSP_12R_30L
beacon = ZESTY

route1 =
    360
    N44.58.19.89, W093.25.47.46, 2500, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach91]
##################################################
# KRUGG.L12R
runway = KMSP_12R_30L
beacon = KRUGG

route1 =
    360
    N44.55.23.72, W093.40.22.06, 6000, 210 ; KRUGG
    N44.58.56.48, W093.35.42.53, 6000, 210 ; EFEXX
    N44.58.19.89, W093.25.47.46, 4000, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach92]
##################################################
# PAETN.L12R
runway = KMSP_12R_30L
beacon = PAETN

route1 =
    360
    N45.03.11.97, W093.37.09.39, 6000, 250 ; PAETN
    N45.01.34.74, W093.33.21.87, 6000, 250 ; UTHNK
    N44.59.57.38, W093.29.34.57, 5000, 250 ; WAYZA
    N44.58.19.89, W093.25.47.46, 4000, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach93]
##################################################
# ZESTY.L12R
runway = KMSP_12R_30L
beacon = ZESTY

route1 =
    360
    N44.58.19.89, W093.25.47.46, 2500, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach94]
##################################################
# GEEQU.I30L
runway = KMSP_12R_30L, rev
beacon = GEEQU

route1 =
    360
    N44.46.14.91, W092.45.19.26, 6000, 210 ; GEEQU
    N44.45.38.62, W092.56.31.53, 5000, 210 ; PIGZI
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach95]
##################################################
# HAPTN.I30L
runway = KMSP_12R_30L, rev
beacon = HAPTN

route1 =
    360
    N44.37.42.13, W092.59.30.61, 6000, 210 ; HAPTN
    N44.42.00.42, W092.54.42.85, 6000, 210 ; DBLEM
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach96]
##################################################
# HASTI.I30L
runway = KMSP_12R_30L, rev
beacon = HASTI

route1 =
    360
    N44.42.21.30, W092.49.01.33, 6000, 250 ; HASTI
    N44.44.00.02, W092.52.46.32, 6000, 250 ; PINKE
    N44.45.38.62, W092.56.31.53, 5000, 250 ; PIGZI
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach97]
##################################################
# AABEZ.I30L
runway = KMSP_12R_30L, rev
beacon = AABEZ

route1 =
    360
    N44.47.17.10, W093.00.16.96, 2500, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach98]
##################################################
# GEEQU.L30L
runway = KMSP_12R_30L, rev
beacon = GEEQU

route1 =
    360
    N44.46.14.91, W092.45.19.26, 6000, 210 ; GEEQU
    N44.45.38.62, W092.56.31.53, 5000, 210 ; PIGZI
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach99]
##################################################
# HAPTN.L30L
runway = KMSP_12R_30L, rev
beacon = HAPTN

route1 =
    360
    N44.37.42.13, W092.59.30.61, 6000, 210 ; HAPTN
    N44.42.00.42, W092.54.42.85, 6000, 210 ; DBLEM
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach100]
##################################################
# HASTI.L30L
runway = KMSP_12R_30L, rev
beacon = HASTI

route1 =
    360
    N44.42.21.30, W092.49.01.33, 6000, 250 ; HASTI
    N44.44.00.02, W092.52.46.32, 6000, 250 ; PINKE
    N44.45.38.62, W092.56.31.53, 5000, 250 ; PIGZI
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach101]
##################################################
# AABEZ.L30L
runway = KMSP_12R_30L, rev
beacon = AABEZ

route1 =
    360
    N44.47.17.10, W093.00.16.96, 2500, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach102]
##################################################
# GEEQU.I30R
runway = KMSP_12L_30R, rev
beacon = GEEQU

route1 =
    360
    N44.46.14.91, W092.45.19.26, 6000, 210 ; GEEQU
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach103]
##################################################
# GROVZ.I30R
runway = KMSP_12L_30R, rev
beacon = GROVZ

route1 =
    360
    N44.42.50.91, W092.48.38.71, 6000, 250 ; GROVZ
    N44.44.29.60, W092.52.23.75, 6000, 250 ; WULAM
    N44.46.08.17, W092.56.09.02, 5000, 250 ; BONNA
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach104]
##################################################
# TRTEL.I30R
runway = KMSP_12L_30R, rev
beacon = TRTEL

route1 =
    360
    N44.51.57.46, W092.45.43.09, 6000, 210 ; TRTEL
    N44.47.40.29, W092.51.33.11, 5000, 210 ; SOGGY
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach105]
##################################################
# SAMMZ.I30R
runway = KMSP_12L_30R, rev
beacon = SAMMZ

route1 =
    360
    N44.47.46.62, W092.59.54.51, 2500, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach106]
##################################################
# GEEQU.L30R
runway = KMSP_12L_30R, rev
beacon = GEEQU

route1 =
    360
    N44.46.14.91, W092.45.19.26, 6000, 210 ; GEEQU
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach107]
##################################################
# GROVZ.L30R
runway = KMSP_12L_30R, rev
beacon = GROVZ

route1 =
    360
    N44.42.50.91, W092.48.38.71, 6000, 250 ; GROVZ
    N44.44.29.60, W092.52.23.75, 6000, 250 ; WULAM
    N44.46.08.17, W092.56.09.02, 5000, 250 ; BONNA
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach108]
##################################################
# TRTEL.L30R
runway = KMSP_12L_30R, rev
beacon = TRTEL

route1 =
    360
    N44.51.57.46, W092.45.43.09, 6000, 210 ; TRTEL
    N44.47.40.29, W092.51.33.11, 5000, 210 ; SOGGY
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach109]
##################################################
# SAMMZ.L30R
runway = KMSP_12L_30R, rev
beacon = SAMMZ

route1 =
    360
    N44.47.46.62, W092.59.54.51, 2500, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach110]
##################################################
# JAMEZ.I35-Z
runway = KMSP_17_35, rev
beacon = JAMEZ

route1 =
    360
    N44.32.24.23, W093.09.08.72, 6000, 250 ; JAMEZ
    N44.35.50.17, W093.10.01.66, 6000, 250 ; OBERR
    N44.39.16.51, W093.10.54.72, 5000, 250 ; SSTAR
    N44.42.21.76, W093.11.42.54, 4000, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach111]
##################################################
# NNEWW.I35-Z
runway = KMSP_17_35, rev
beacon = NNEWW

route1 =
    360
    N44.32.03.98, W093.15.09.71, 6000, 250 ; NNEWW
    N44.42.21.76, W093.11.42.54, 4000, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach112]
##################################################
# ROZEE.I35-Z
runway = KMSP_17_35, rev
beacon = ROZEE

route1 =
    360
    N44.42.21.76, W093.11.42.54, 2500, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach113]
##################################################
# JAMEZ.R35-Z
runway = KMSP_17_35, rev
beacon = JAMEZ

route1 =
    360
    N44.32.24.23, W093.09.08.72, 6000, 250 ; JAMEZ
    N44.35.50.17, W093.10.01.66, 6000, 250 ; OBERR
    N44.39.16.51, W093.10.54.72, 5000, 250 ; SSTAR
    N44.42.21.76, W093.11.42.54, 4000, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach114]
##################################################
# NNEWW.R35-Z
runway = KMSP_17_35, rev
beacon = NNEWW

route1 =
    360
    N44.32.03.98, W093.15.09.71, 6000, 250 ; NNEWW
    N44.42.21.76, W093.11.42.54, 4000, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach115]
##################################################
# ROZEE.R35-Z
runway = KMSP_17_35, rev
beacon = ROZEE

route1 =
    360
    N44.42.21.76, W093.11.42.54, 2500, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach116]
##################################################
# LYDIA.L04
runway = KMSP_04_22
beacon = LYDIA

route1 =
    360
    N44.36.29.40, W093.28.44.19, 6000, 250 ; LYDIA
    N44.44.57.00, W093.24.39.07, 4000, 200 ; KETAM
    9, 2300, 200 ; end


##################################################
[approach117]
##################################################
# KETAM.L04
runway = KMSP_04_22
beacon = KETAM

route1 =
    360
    N44.44.57.00, W093.24.39.07, 2500, 200 ; KETAM
    9, 2300, 200 ; end


##################################################
[approach118]
##################################################
# LYDIA.R04
runway = KMSP_04_22
beacon = LYDIA

route1 =
    360
    N44.36.29.40, W093.28.44.19, 6000, 250 ; LYDIA
    N44.44.57.00, W093.24.39.07, 4000, 200 ; KETAM
    9, 2300, 200 ; end


##################################################
[approach119]
##################################################
# KETAM.R04
runway = KMSP_04_22
beacon = KETAM

route1 =
    360
    N44.44.57.00, W093.24.39.07, 2500, 200 ; KETAM
    9, 2300, 200 ; end


##################################################
[approach120]
##################################################
# GEP.L17
runway = KMSP_17_35
beacon = GEP

route1 =
    360
    N45.08.44.47, W093.22.23.45, 4000, 200 ; GEP
    N45.05.03.49, W093.17.36.68, 4000, 200 ; ARJAE
    10, 2800, 200 ; end


##################################################
[approach121]
##################################################
# ARJAE.L17
runway = KMSP_17_35
beacon = ARJAE

route1 =
    360
    N45.05.03.49, W093.17.36.68, 2500, 200 ; ARJAE
    10, 2800, 200 ; end


##################################################
[approach122]
##################################################
# WAGNR.L22
runway = KMSP_04_22, rev
beacon = WAGNR

route1 =
    360
    N45.03.14.08, W092.59.58.52, 6000, 250 ; WAGNR
    N45.02.32.24, W092.59.53.36, 4000, 200 ; CFBKJ
    N45.01.26.28, W093.01.27.07, 4000, 200 ; CUSAC
    9, 2500, 200 ; end


##################################################
[approach123]
##################################################
# CUSAC.L22
runway = KMSP_04_22, rev
beacon = CUSAC

route1 =
    360
    N45.01.26.28, W093.01.27.07, 2500, 200 ; CUSAC
    9, 2500, 200 ; end


##################################################
[approach124]
##################################################
# WHISK.R22
runway = KMSP_04_22, rev
beacon = WHISK

route1 =
    360
    N45.08.23.57, W092.57.43.72, 6000, 250 ; WHISK
    N45.01.31.06, W093.01.20.34, 4000, 200 ; FATES
    9, 2600, 200 ; end


##################################################
[approach125]
##################################################
# FATES.R22
runway = KMSP_04_22, rev
beacon = FATES

route1 =
    360
    N45.01.31.06, W093.01.20.34, 2500, 200 ; FATES
    9, 2600, 200 ; end


##################################################
[approach126]
##################################################
# JAMEZ.L35
runway = KMSP_17_35, rev
beacon = JAMEZ

route1 =
    360
    N44.32.24.23, W093.09.08.72, 6000, 250 ; JAMEZ
    N44.35.50.17, W093.10.01.66, 6000, 250 ; OBERR
    N44.39.16.51, W093.10.54.72, 5000, 250 ; SSTAR
    N44.42.21.76, W093.11.42.54, 4000, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach127]
##################################################
# NNEWW.L35
runway = KMSP_17_35, rev
beacon = NNEWW

route1 =
    360
    N44.32.03.98, W093.15.09.71, 6000, 250 ; NNEWW
    N44.42.21.76, W093.11.42.54, 4000, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach128]
##################################################
# ROZEE.L35
runway = KMSP_17_35, rev
beacon = ROZEE

route1 =
    360
    N44.42.21.76, W093.11.42.54, 2500, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach129]
##################################################
# CCJAY.R12LZ
runway = KMSP_12L_30R
beacon = CCJAY

route1 =
    360
    N45.03.30.66, W093.36.22.44, 6000, 250 ; CCJAY
    N45.01.53.43, W093.32.34.92, 6000, 250 ; UBTYA
    N45.00.16.07, W093.28.47.59, 5000, 250 ; ALGIN
    N44.58.38.58, W093.25.00.46, 4000, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach130]
##################################################
# KAYQU.R12LZ
runway = KMSP_12L_30R
beacon = KAYQU

route1 =
    360
    N45.10.47.83, W093.29.09.59, 6000, 210 ; KAYQU
    N45.04.14.50, W093.29.18.95, 5000, 210 ; SHUUT
    N44.58.38.58, W093.25.00.46, 4000, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach131]
##################################################
# HAMML.R12LZ
runway = KMSP_12L_30R
beacon = HAMML

route1 =
    360
    N44.58.38.58, W093.25.00.46, 2500, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach132]
##################################################
# KRUGG.R12RZ
runway = KMSP_12R_30L
beacon = KRUGG

route1 =
    360
    N44.55.23.72, W093.40.22.06, 6000, 210 ; KRUGG
    N44.58.56.48, W093.35.42.53, 6000, 210 ; EFEXX
    N44.58.19.89, W093.25.47.46, 4000, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach133]
##################################################
# PAETN.R12RZ
runway = KMSP_12R_30L
beacon = PAETN

route1 =
    360
    N45.03.11.97, W093.37.09.39, 6000, 250 ; PAETN
    N45.01.34.74, W093.33.21.87, 6000, 250 ; UTHNK
    N44.59.57.38, W093.29.34.57, 5000, 250 ; WAYZA
    N44.58.19.89, W093.25.47.46, 4000, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach134]
##################################################
# ZESTY.R12RZ
runway = KMSP_12R_30L
beacon = ZESTY

route1 =
    360
    N44.58.19.89, W093.25.47.46, 2500, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach135]
##################################################
# GEEQU.R30LZ
runway = KMSP_12R_30L, rev
beacon = GEEQU

route1 =
    360
    N44.46.14.91, W092.45.19.26, 6000, 210 ; GEEQU
    N44.45.38.62, W092.56.31.53, 5000, 210 ; PIGZI
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach136]
##################################################
# HAPTN.R30LZ
runway = KMSP_12R_30L, rev
beacon = HAPTN

route1 =
    360
    N44.37.42.13, W092.59.30.61, 6000, 210 ; HAPTN
    N44.42.00.42, W092.54.42.85, 6000, 210 ; DBLEM
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach137]
##################################################
# HASTI.R30LZ
runway = KMSP_12R_30L, rev
beacon = HASTI

route1 =
    360
    N44.42.21.30, W092.49.01.33, 6000, 250 ; HASTI
    N44.44.00.02, W092.52.46.32, 6000, 250 ; PINKE
    N44.45.38.62, W092.56.31.53, 5000, 250 ; PIGZI
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach138]
##################################################
# AABEZ.R30LZ
runway = KMSP_12R_30L, rev
beacon = AABEZ

route1 =
    360
    N44.47.17.10, W093.00.16.96, 2500, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach139]
##################################################
# GEEQU.R30RZ
runway = KMSP_12L_30R, rev
beacon = GEEQU

route1 =
    360
    N44.46.14.91, W092.45.19.26, 6000, 210 ; GEEQU
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach140]
##################################################
# GROVZ.R30RZ
runway = KMSP_12L_30R, rev
beacon = GROVZ

route1 =
    360
    N44.42.50.91, W092.48.38.71, 6000, 250 ; GROVZ
    N44.44.29.60, W092.52.23.75, 6000, 250 ; WULAM
    N44.46.08.17, W092.56.09.02, 5000, 250 ; BONNA
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach141]
##################################################
# TRTEL.R30RZ
runway = KMSP_12L_30R, rev
beacon = TRTEL

route1 =
    360
    N44.51.57.46, W092.45.43.09, 6000, 210 ; TRTEL
    N44.47.40.29, W092.51.33.11, 5000, 210 ; SOGGY
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach142]
##################################################
# SAMMZ.R30RZ
runway = KMSP_12L_30R, rev
beacon = SAMMZ

route1 =
    360
    N44.47.46.62, W092.59.54.51, 2500, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
# KMSP SIDS
##################################################



##################################################
[departure1]
runway = KMSP_04_22

route1 =
    COULT7.COULT, COULT7
    N44.33.23.85, W092.12.30.38
# COULT

route2 =
    COULT7.DLL, COULT7
    N44.33.23.85, W092.12.30.38
# COULT
    N44.22.14.63, W091.51.01.69
# LMFRY
    N43.33.03.00, W089.45.49.04
# DLL

route3 =
    DWN8.DWN, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN

route4 =
    DWN8.ABR, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN
    N45.25.02.48, W098.22.07.39
# ABR

route5 =
    KBREW1.KBREW, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW

route6 =
    KBREW1.FAR, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW
    N46.45.12.01, W096.51.04.75
# FAR

route7 =
    LEINY6.LEINY, LEINY6
    N44.54.57.58, W093.38.01.51
# TONCA
    N44.56.03.00, W094.01.31.00
# BOTNE
    N44.56.54.26, W094.21.16.60
# KUUGL
    N45.02.16.00, W097.36.40.00
# LEINY

route8 =
    ORSKY2.ORSKY, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY

route9 =
    ORSKY2.FOD, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N42.36.40.05, W094.17.41.34
# FOD

route10 =
    ORSKY2.OVR, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N43.17.51.48, W094.30.46.46
# ONTIJ
    N42.57.30.91, W094.42.51.04
# GOOLD
    N42.49.33.63, W094.47.31.30
# SIMJI
    N42.26.08.02, W095.01.09.77
# EYHUX
    N41.50.32.36, W095.21.31.40
# TODDO
    N41.10.01.80, W095.44.12.67
# OVR

route11 =
    RST1.RST, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST

route12 =
    RST1.ALO, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST
    N42.33.23.39, W092.23.56.13
# ALO

route13 =
    SCHEP9.SCHEP, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP

route14 =
    SCHEP9.OBH, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N41.22.32.65, W098.21.12.94
# OBH

route15 =
    SCHEP9.ONL, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N42.28.13.80, W098.41.12.94
# ONL

route16 =
    SMERF7.SMERF, SMERF7
    N45.05.17.00, W093.52.33.00
# ZOGAP
    N45.11.17.56, W094.17.15.85
# PAGOZ
    N45.55.15.82, W097.34.08.26
# SMERF

route17 =
    ZMBRO7.ZMBRO, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO

route18 =
    ZMBRO7.ODI, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
    N44.20.29.98, W092.26.54.60
# ZMBRO
    N43.54.44.39, W091.28.03.06
# ODI


##################################################
[departure1]
runway = KMSP_12L_30R

route1 =
    COULT7.COULT, COULT7
    N44.33.23.85, W092.12.30.38
# COULT

route2 =
    COULT7.DLL, COULT7
    N44.33.23.85, W092.12.30.38
# COULT
    N44.22.14.63, W091.51.01.69
# LMFRY
    N43.33.03.00, W089.45.49.04
# DLL

route3 =
    DWN8.DWN, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN

route4 =
    DWN8.ABR, DWN8
    N44.53.47.40, W093.14.11.51
# MSP
    N45.05.14.87, W094.27.13.86
# DWN
    N45.25.02.48, W098.22.07.39
# ABR

route5 =
    KBREW1.KBREW, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW

route6 =
    KBREW1.FAR, KBREW1
    N45.08.44.47, W093.22.23.45
# GEP
    N45.18.52.31, W093.48.25.17
# HRBEK
    N45.25.05.56, W094.04.36.50
# HOMUR
    N45.35.03.67, W094.30.53.21
# KBREW
    N46.45.12.01, W096.51.04.75
# FAR

route7 =
    LEINY6.LEINY, LEINY6
    N44.54.57.58, W093.38.01.51
# TONCA
    N44.56.03.00, W094.01.31.00
# BOTNE
    N44.56.54.26, W094.21.16.60
# KUUGL
    N45.02.16.00, W097.36.40.00
# LEINY

route8 =
    ORSKY2.ORSKY, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY

route9 =
    ORSKY2.FOD, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N42.36.40.05, W094.17.41.34
# FOD

route10 =
    ORSKY2.OVR, ORSKY2
    N43.40.11.13, W094.13.22.92
# ORSKY
    N43.17.51.48, W094.30.46.46
# ONTIJ
    N42.57.30.91, W094.42.51.04
# GOOLD
    N42.49.33.63, W094.47.31.30
# SIMJI
    N42.26.08.02, W095.01.09.77
# EYHUX
    N41.50.32.36, W095.21.31.40
# TODDO
    N41.10.01.80, W095.44.12.67
# OVR

route11 =
    RST1.RST, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST

route12 =
    RST1.ALO, RST1
    N44.37.51.40, W093.10.55.39
# FGT
    N44.25.19.96, W093.02.10.66
# FOBUG
    N44.15.29.08, W092.55.20.92
# DOKTR
    N44.07.25.38, W092.49.47.21
# CORDY
    N43.46.58.45, W092.35.49.06
# RST
    N42.33.23.39, W092.23.56.13
# ALO

route13 =
    SCHEP9.SCHEP, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP

route14 =
    SCHEP9.OBH, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N41.22.32.65, W098.21.12.94
# OBH

route15 =
    SCHEP9.ONL, SCHEP9
    N44.53.47.40, W093.14.11.51
# MSP
    N44.42.04.34, W093.36.57.24
# HUGIR
    N44.35.00.33, W093.50.32.26
# MCONL
    N44.25.32.63, W094.08.33.99
# ARREX
    N44.14.50.23, W094.28.43.65
# SCHEP
    N43.38.48.90, W095.34.55.05
# OTG
    N42.28.13.80, W098.41.12.94
# ONL

route16 =
    SMERF7.SMERF, SMERF7
    N45.05.17.00, W093.52.33.00
# ZOGAP
    N45.11.17.56, W094.17.15.85
# PAGOZ
    N45.55.15.82, W097.34.08.26
# SMERF

route17 =
    ZMBRO7.ZMBRO, ZMBRO7
    N44.53.47.40, W093.14.11.51
# MSP
    N44.27.40.64, W092.43.40.59
# JEDET
